書きかえる漢字	書きかえた漢字	書きかえる漢語	書きかえた漢語	採用した文書
擅	専	擅断	専断	
煽	扇	煽動	扇動	
歿	没	戦歿	戦没	
沮	阻	沮	阻	
惣	総	惣	総	
嵌	眼	象嵌	象眼	
蒼	倉	蒼惶	倉皇	
惶	皇	蒼惶	倉皇	
綜	総	綜合	総合	
剋	克	相剋	相克	
惣	総	惣菜	総菜	
釘	丁	装釘	装丁	
幀	丁	装幀	装丁	
剿	掃	剿滅	掃滅	
簇	族	簇生	族生	
沮	阻	沮止	阻止	
疏	疎	疏水	疎水	
沮	阻	沮喪	阻喪	
疏	疎	疏通	疎通	
疏	疎	疏明	疎明	法
褪	退	褪色	退色	
頹	退	頹勢	退勢	
頹	退	頹廃	退廃	
颱	台	颱風	台風	
慾	欲	大慾	大欲	
掠	略	奪掠	奪略	
歎	嘆	歎	嘆	
歎	嘆	歎願	嘆願	
礦	鉱	炭礦	炭鉱	
坐	座	端坐	端座	
篇	編	短篇	短編	
煖	暖	煖房	暖房	建
煖	暖	煖炉	暖炉	建
智	知	智	知	
智	知	智慧	知恵	
慧	恵	智慧	知恵	
智	知	智能	知能	
智	知	智謀	知謀	
註	注	註	注	
註	注	註解	注解	
註	注	註釈	注釈	
註	注	註文	注文	
篇	編	長篇	長編	
澱	殿	沈澱	沈殿	化
彽	低	彽徊	低回	
徊	回	彽徊	低回	
牴	抵	牴触	抵触	法
觝	抵	觝触	抵触	法
鄭	丁	鄭重	丁重	
叮	丁	叮嚀	丁寧	
嚀	寧	叮嚀	丁寧	
碇	停	碇泊	停泊	法
帖	帳	手帖	手帳	
顚	転	顚倒	転倒	
顚	転	顚覆	転覆	法
蹈	踏	蹈	踏	
潰	壊	倒潰	倒壊	
蹈	踏	蹈襲	踏襲	
輯	集	特輯	特集	
杜	途	杜絶	途絶	
蝕	食	日蝕	日食	
悖	背	悖徳	背徳	
毀	棄	破毀	破棄	法
曝	暴	曝露	暴露	法
摧	砕	破摧	破砕	
醱	発	醱酵	発酵	
倖	幸	薄倖	薄幸	
萃	粋	抜萃	抜粋	
叛	反	叛	反	
叛	反	叛旗	反旗	
叛	反	叛逆	反逆	
蕃	繁	蕃殖	繁殖	法
蕃	蛮	蕃族	蛮族	
撥	発	反撥	反発	
叛	反	叛乱	反乱	
蜚	飛	蜚語	飛語	
蹟	跡	筆蹟	筆跡	
歿	没	病歿	病没	
諷	風	諷刺	風刺	
蝕	食	腐蝕	腐食	
牒	丁	符牒	符丁	
慾	欲	物慾	物欲	
爛	乱	腐爛	腐乱	
篇	編	篇	編	
疆	境	辺疆	辺境	
輯	集	編輯	編集	
輔	補	輔	補	
哺	保	哺育	保育	
潰	壊	崩潰	崩壊	
碍	害	妨碍	妨害	
拋	放	拋棄	放棄	法
禦	御	防禦	防御	
繃	包	繃帯	包帯	医
厖	膨	厖大	膨大	
庖	包	庖丁	包丁	
拋	放	拋物線	放物線	物
輔	補	輔佐	補佐	
鋪	舗	鋪装	舗装	
歿	没	歿	没	
輔	補	輔導	補導	
姆	母	保姆	保母	
磨	摩	磨滅	摩滅	土
智	知	無智	無知	
慾	欲	無慾	無欲	
慾	欲	名誉慾	名誉欲	
棉	綿	棉花	綿花	
摸	模	摸	模	
妄	盲	妄動	盲動	
摸	模	摸索	模索	
鄙	卑	野鄙	野卑	
熔	溶	熔	溶	
鎔	溶	鎔	溶	
鎔	溶	鎔解	溶解	鉱
熔	溶	熔岩	溶岩	鉱
鎔	溶	鎔鉱炉	溶鉱炉	鉱
熔	溶	熔接	溶接	船鉱
慾	欲	慾	欲	
磐	盤	落磐	落盤	鉱法
窟	屈	理窟	理屈	
悧	利	悧巧	利口	
智	知	理智	理知	
叛	反	離叛	離反	
掠	略	掠	略	
掠	略	掠奪	略奪	
俚	里	俚謡	里謡	
諒	了	諒	了	
